period,day,mean_car_pct,ci_lo_pct,ci_hi_pct,n_events
all_2005_2026,43,0.6244137778567421,-0.4700659394416355,1.743612991412109,14769
all_2005_2026,44,0.6152146004107328,-0.5424065605790925,1.7442349465410862,14769
all_2005_2026,45,0.6065746483984813,-0.5577655963092704,1.7743661226899712,14769
all_2005_2026,46,0.6194327801316578,-0.5677203307404532,1.7782437127764104,14769
all_2005_2026,47,0.6428004477478334,-0.5600825122382935,1.8118027941560575,14769
all_2005_2026,48,0.5796205893254159,-0.6559409646999864,1.8085364860672728,14769
all_2005_2026,49,0.5258096697170919,-0.744231377328845,1.7685221128091295,14769
all_2005_2026,50,0.4942615130830646,-0.7991251407266445,1.7475198996123968,14769
all_2005_2026,51,0.48406599664880484,-0.8155438870272114,1.7623571780167528,14769
all_2005_2026,52,0.4607306776805049,-0.8691079818072807,1.7479104845959068,14769
all_2005_2026,53,0.4104615165655869,-0.9173993106501783,1.721301606526884,14769
all_2005_2026,54,0.4127757908771546,-0.9205730405478171,1.7509895306546948,14769
all_2005_2026,55,0.409464355885169,-0.9167858638792739,1.729422116406658,14769
all_2005_2026,56,0.4294217897357603,-0.9040513353951606,1.7539460003400196,14769
all_2005_2026,57,0.4137135779559086,-0.9435370480015146,1.7697746575061846,14769
all_2005_2026,58,0.408638644097312,-0.9488983517548791,1.7743136871337204,14769
all_2005_2026,59,0.40981760250324467,-0.9450217008256003,1.782954561604779,14769
all_2005_2026,60,0.3946525299183075,-0.9916424420661399,1.7630723341615857,14769
selection_2005_2014,1,0.2308732244053824,0.10117661195048269,0.3594630322765086,4803
selection_2005_2014,2,0.3157712578065166,0.14875867242977334,0.4853367782567385,4803
selection_2005_2014,3,0.2846851506679794,0.08843596447046555,0.4855162214118608,4803
selection_2005_2014,4,0.3251691432768914,0.08070347899602703,0.5755083919617978,4803
selection_2005_2014,5,0.3267501482098003,0.0459789438458175,0.6119562223069289,4803
selection_2005_2014,6,0.30788610860083027,0.004222989352456489,0.621206131555725,4803
selection_2005_2014,7,0.35987695718115353,0.02962062919953561,0.693541108657095,4803
selection_2005_2014,8,0.3962455462440745,0.027914852560655633,0.7677305228127685,4803
selection_2005_2014,9,0.3571397661095451,-0.06156460109329337,0.7682749181867514,4803
