label,n_events,share_entered_B,median_k,CAR_A,CAR_A_lo,CAR_A_hi,CAR_B,CAR_B_lo,CAR_B_hi,B_minus_A,B_minus_A_lo,B_minus_A_hi,C_minus_A,C_minus_A_lo,C_minus_A_hi,D1_minus_A,D1_minus_A_lo,D1_minus_A_hi,D2_minus_A,D2_minus_A_lo,D2_minus_A_hi,D3_minus_A,D3_minus_A_lo,D3_minus_A_hi,perday_post,perday_post_lo,perday_post_hi,perday_A,perday_A_lo,perday_A_hi,PRIMARY_post_minus_matched,PRIMARY_lo,PRIMARY_hi,matched_control_perday,variant,period,W,H,m_fixed
intraday filings included | holdout,10404,0.6120722798923491,2.0,0.001908788156529243,-0.01228693136509735,0.016333238971724305,0.0007256386054192149,-0.0071680833871177775,0.008861920949413708,-0.0011831495511100266,-0.008097377168253341,0.005933308171781606,-0.0009403014145564871,-0.003258691996546396,0.0012711747718671834,-0.0006017151709356538,-0.005368343358580817,0.004274178155042748,-0.001551718080031321,-0.01033046856749482,0.007408319389286404,-0.0019369402476905925,-0.009559216444164995,0.005980640344716029,3.1331006111925496e-05,-0.00031032027786099403,0.0003805641665906,4.771970391323104e-05,-0.00030717328412743387,0.0004083309742931075,-5.434520298061286e-05,-0.000137279888974426,2.4894733603951636e-05,8.567620909253834e-05,intraday filings included,holdout,10,40,2.0
placebo: pseudo day 0 = 60 sessions before the event | all,14744,0.666101465002713,2.0,0.01240216715358535,-0.00010749282221541247,0.025129537707459314,0.008376916312413633,0.00020041313353174827,0.01675392572443683,-0.004025250841171715,-0.00905146901626092,0.0009848245382259473,0.0002795904356267692,-0.0009326878494931909,0.0014517813706326401,-0.002452625705831855,-0.005456460247716054,0.0005200020598395696,-0.00462629717808715,-0.011771085186750737,0.0026814217279195946,-0.004680715254689882,-0.010038980472108106,0.0007486504778700644,0.00034634408847547326,1.0563270016480195e-05,0.0006795835599718706,0.00031005417883963373,-2.6873205553853413e-06,0.000628238442686483,-4.341270324866757e-05,-0.00011513187969439625,3.0065497651468043e-05,0.00038975679172414084,placebo: pseudo day 0 = 60 sessions before the event,all,10,40,2.0
placebo: pseudo day 0 = 60 sessions before the event | selection,4798,0.6729887453105461,2.0,0.013022462201574875,0.0011315175878056493,0.024453527126094606,0.007626579922218368,7.216874449084187e-06,0.015279484097694404,-0.005395882279356507,-0.010566776544124431,0.00023687864205085678,-0.0010966630915139192,-0.002581329076857834,0.00037231548105642653,-0.0036132639396757047,-0.006976023460521718,0.00013162413027206435,-0.008505092899073082,-0.015893740691348267,-0.0007183422628687739,-0.005116948957275898,-0.010893075605372376,0.0009520082371859519,0.0003040754841955772,-5.074481194469569e-06,0.0006017901248250628,0.0003255615550393719,2.828793969514124e-05,0.0006113381781523653,-7.426325911057442e-05,-0.0001697002361322025,1.4985561347803384e-05,0.0003783387433061516,placebo: pseudo day 0 = 60 sessions before the event,selection,10,40,2.0
placebo: pseudo day 0 = 60 sessions before the event | holdout,9946,0.6627790066358336,2.0,0.012102933729067579,-0.005381076248973493,0.029950228925772142,0.008738882328918448,-0.0028639094561325996,0.02041438117227228,-0.0033640514001491303,-0.010334457585160689,0.003861243629814953,0.0009435020003986398,-0.000627582544456249,0.0024695923188811746,-0.0018927280338046299,-0.005904003159584303,0.002304376115976535,-0.0027551467790030448,-0.012847499998146952,0.007526244330023507,-0.004470273941095704,-0.011899862240933179,0.003276592208000284,0.000367048779497892,-0.0001121648294282648,0.0008339770318715399,0.00030257334322668947,-0.0001345269062243374,0.0007487557231443036,-2.8300985275655236e-05,-0.0001259744151719154,7.453045388546955e-05,0.0003953497647735472,placebo: pseudo day 0 = 60 sessions before the event,holdout,10,40,2.0
"short-side mirror (bottom decile, close < day-0 low), gross | all",14767,0.5968714024514119,2.0,0.0055938335503962,-0.005597060380927966,0.016671965515008928,0.0005879270804161955,-0.006811720841217729,0.00778432801256835,-0.0050059064699800055,-0.009794123404850249,5.9663316500499814e-05,-0.0020083328891283394,-0.0035128106537394453,-0.0005537885577455505,-0.0030466955116248097,-0.006303763803221318,0.0005468684925936391,-0.006674524931414157,-0.012897846274656184,-0.00016905131943752277,-0.0050250356421414465,-0.009805088739674226,0.00026295950186654236,1.949391753745525e-05,-0.0003153148673524078,0.00034507951207303576,0.00013984583875990497,-0.0001399265095231992,0.00041679913787522326,-0.00010897636500207297,-0.00018579431940885942,-3.3137928826771536e-05,0.00012847028253952825,"short-side mirror (bottom decile, close < day-0 low), gross",all,10,40,2.0
"short-side mirror (bottom decile, close < day-0 low), gross | selection",4791,0.606971404717178,2.0,0.0020528222138837997,-0.00924185912604317,0.01311072358189476,-0.0006385961690372778,-0.009205570046102153,0.0076190361548461654,-0.0026914183829210773,-0.0075066633667482995,0.0022816967002602493,-0.003963090511347407,-0.006009041813165565,-0.002004869271843658,-0.0016146466152642213,-0.004953340728287238,0.0016851041749531056,-0.0037343225626491304,-0.010389519236804621,0.0030948740803765423,-0.0024844287938114626,-0.00821584955806227,0.003493195342951794,-3.1898382010883e-05,-0.00041275103611072275,0.0003255880280860432,5.132055534709496e-05,-0.00023104647815107925,0.00032776808954736896,-3.945543692298949e-05,-0.00013679528364285413,6.731387905313296e-05,7.557054912106522e-06,"short-side mirror (bottom decile, close < day-0 low), gross",selection,10,40,2.0
"short-side mirror (bottom decile, close < day-0 low), gross | holdout",9976,0.5920208500400962,2.0,0.0072944134735348255,-0.008872386387914058,0.022050528973974408,0.0011769680675985921,-0.008750112867046519,0.010535633506714446,-0.006117445405936232,-0.01264897147903636,0.001229968253157463,-0.0010695554464607824,-0.002874452755883934,0.0009042308988633056,-0.0037344407263865953,-0.008009327650522332,0.0016449984358632294,-0.00808656478193072,-0.016381255495124147,0.0012490743833724798,-0.006245168702521253,-0.012672511276507797,0.001615256492725156,4.479849035942737e-05,-0.0004081477054069976,0.00047700691299575087,0.0001823603368383706,-0.00022180965969785144,0.0005512632243493601,-0.00014320712335865523,-0.00024819386226867927,-4.537476153905881e-05,0.0001880056137180827,"short-side mirror (bottom decile, close < day-0 low), gross",holdout,10,40,2.0
selection: overnight gap-up >= 2 std | all,25776,0.5056641837368094,2.0,0.0008272227758026263,-0.007168975469592499,0.008634017741935117,0.0004982129418326048,-0.0029535607631978556,0.004150872437730967,-0.00032900983397002087,-0.0049755646183858885,0.004777501971548597,3.1466031364615434e-05,-0.0013158326999995512,0.001343213936323925,0.0005166011881266308,-0.0020405197626691,0.003299739900806729,-0.0005693041469486917,-0.0065011206580368065,0.00589830869881406,-0.0005082830389320973,-0.004535249898242822,0.0039017069252748194,2.471105836054281e-05,-0.00016358804814962886,0.00021838140243915489,2.0680569395065655e-05,-0.00017922438673981253,0.00021585044354837797,-6.913241320737634e-05,-0.00011530977554346121,-2.4317981839292463e-05,9.384347156791917e-05,selection: overnight gap-up >= 2 std,all,10,40,3.0
selection: overnight gap-up >= 2 std | selection,7621,0.52447185408739,3.0,0.008176867956029234,0.001098034824904319,0.015179493054820267,0.002295307239249317,-0.0006978560071676646,0.005413564456187175,-0.005881560716779918,-0.010245253773000921,-0.001462627538593754,-0.0014057430344427484,-0.003062508068510195,0.00012464527124292455,-0.0021654239543589028,-0.004350281644555824,0.00015158263787627078,-0.007390191743748804,-0.012873523528779999,-0.001811340765199521,-0.004914358493331125,-0.008995016817321615,-0.0008313509473238553,0.0001157194891289631,-4.236636049777433e-05,0.0002684152441555786,0.00020442169890073087,2.7450870622607986e-05,0.0003794873263705067,-0.00013326654762100843,-0.0001982737132621052,-6.847203840893036e-05,0.00024898603674997153,selection: overnight gap-up >= 2 std,selection,10,40,3.0
selection: overnight gap-up >= 2 std | holdout,18155,0.4977692095841366,2.0,-0.0022579684067094647,-0.013173055102058032,0.008134200675924727,-0.0002561608196993565,-0.005039601592406912,0.004762708024358625,0.002001807587010107,-0.0040451697534015065,0.008885457385863302,0.0006347692696195268,-0.001165218195895366,0.002398500232345601,0.0016424460579080827,-0.0016634334314672829,0.005432401321690138,0.002293928261490507,-0.005381165829500152,0.010951143799620448,0.0013412736142199265,-0.003869114224526809,0.007224066581454819,-1.554131496925422e-05,-0.0002828222339459685,0.0002531799457268248,-5.644921016773656e-05,-0.0003293263775514508,0.0002033550168981181,-4.0766347560448435e-05,-9.493605248126105e-05,1.8612350242902752e-05,2.5225032591194202e-05,selection: overnight gap-up >= 2 std,holdout,10,40,3.0
