idx,rA,rB,n,d
381,0.004677507925750155,-0.001833636818695239,25,-0.006511144744445394
382,0.010431793236468971,0.0054871074512960255,23,-0.004944685785172946
383,-0.0034135413971907347,-0.0033581756121449746,22,5.53657850457601e-05
384,-0.0006406845191551781,0.003880193360958394,18,0.004520877880113572
385,0.002316669102843579,0.004894885268206867,18,0.002578216165363288
386,0.002395954641527274,0.0015375174654838823,19,-0.0008584371760433918
387,-0.0052616245801106725,-0.0024316451342638193,19,0.002829979445846853
388,0.007496550882388159,0.001045647139198987,18,-0.0064509037431891725
389,0.0007572950638639457,0.0001641862800674041,22,-0.0005931087837965415
390,-0.0032446225341987633,-0.0024301028592644707,28,0.0008145196749342926
391,0.003855069164605124,-0.0008275939532665428,36,-0.0046826631178716665
392,-0.0003344299548640989,0.0009711694967710904,40,0.0013055994516351893
393,0.006154121810188137,0.002512035021181891,40,-0.0036420867890062463
394,-0.004512949778363042,-0.0030677192121186434,42,0.0014452305662443986
395,0.007777652355664666,0.0005976012458492842,51,-0.007180051109815381
396,0.0027846904995159237,0.0007126675008688318,68,-0.002072022998647092
397,0.00342963205781353,-0.0009256116810452891,76,-0.00435524373885882
398,0.00036847203276650273,0.0004082982740156853,79,3.9826241249182545e-05
399,-0.006410276993484303,-0.003728107062426582,85,0.002682169931057721
400,-0.00522286040734167,-0.0020096825020729184,89,0.0032131779052687517
401,-0.001961250445831966,0.00024690465097206276,91,0.0022081550968040286
402,0.0014263921271209545,0.002504692203430184,93,0.0010783000763092295
403,-0.00636244387016592,-0.0024362092149122078,93,0.003926234655253712
404,0.0012591290013137099,-0.00024871871224131675,94,-0.0015078477135550266
405,0.0057101505794824115,0.0016714756246234478,95,-0.0040386749548589635
406,-0.0013991199064923082,-0.0004838141055326238,97,0.0009153058009596844
407,0.0028709648172199247,0.000424064104729044,94,-0.0024469007124908806
408,-0.003493761300702953,-0.0015540972659487647,95,0.0019396640347541885
409,0.002985371440242702,0.0015943566691329692,95,-0.0013910147711097326
410,-0.004819466750239426,-0.0027078556420572744,95,0.0021116111081821514
411,-0.0023996091496784923,-0.0016386435474886711,96,0.0007609656021898212
412,0.008220062430676934,0.0036048685964677695,96,-0.004615193834209164
413,-0.0022954614950833085,-0.0013811019987227887,96,0.0009143594963605197
414,0.004464866800432004,0.002216910758702736,98,-0.0022479560417292682
415,0.0003062019394886119,-1.6356945262200396e-05,98,-0.0003225588847508123
416,-0.004642781297261627,-0.0012025683259696495,97,0.0034402129712919776
417,0.0015970099393586383,0.0014321562359781506,96,-0.0001648537033804877
418,0.004921920693028181,0.00531577639894613,96,0.00039385570591794934
419,0.0051316161008405185,0.004292556057163866,96,-0.0008390600436766526
420,-0.00013381013427782884,-0.0006518664953430396,96,-0.0005180563610652107
421,-0.007257229842937364,-0.005301170994104442,95,0.0019560588488329216
422,0.0017125756841563863,0.0013430505642424639,95,-0.00036952511991392243
423,0.00352719197820497,0.002752673160442891,95,-0.0007745188177620791
424,-0.0038466359148850346,-0.0010943799636706358,96,0.002752255951214399
425,0.00022593376239316124,0.000575591166934541,98,0.0003496574045413798
426,0.007110542939536249,0.0024013283462377194,98,-0.00470921459329853
427,-0.0035689543982134774,-0.0017042541841073807,97,0.0018647002141060967
428,-0.0019120088574063737,-0.0010883617944537603,96,0.0008236470629526134
429,-0.0017793537609337017,-0.001998259937089178,92,-0.00021890617615547632
430,0.007119697011859615,0.0040446125878012265,86,-0.0030750844240583887
431,-0.006275534892024243,-0.00048437977130653937,79,0.005791155120717703
432,-0.004356660364657001,-0.002724746628760161,76,0.00163191373589684
433,-0.0037059103501849667,-0.0007184437819641894,75,0.002987466568220777
434,-0.0017314982776747486,-0.0006264886164010308,75,0.0011050096612737178
435,0.008142264486123946,0.0019421435937409441,66,-0.0062001208923830025
436,0.006189418714419046,0.0032043697878515087,50,-0.0029850489265675372
437,0.00147218362973326,4.3904973196578255e-05,42,-0.0014282786565366818
438,0.0017445938302238135,0.00214288488412964,39,0.00039829105390582647
439,0.004699086019384154,0.0006801724512627479,34,-0.004018913568121406
440,0.006698249805768977,0.003043818266174327,31,-0.0036544315395946494
441,0.012190466077709641,0.008403271543115595,29,-0.003787194534594047
442,0.006474698200732158,0.003185917595178116,26,-0.0032887806055540425
443,-0.009608808032205434,-0.00832115667816744,25,0.0012876513540379941
444,0.0017303588666496195,0.00026382639099538976,25,-0.0014665324756542298
445,0.0027023008397282266,0.0035930543716338682,25,0.0008907535319056417
446,-0.0015683171909873551,0.000281637389229127,24,0.001849954580216482
447,-0.008712480139302424,-0.0036114251220518627,23,0.0051010550172505605
448,-0.0009730421888061321,0.0005628405136285122,22,0.0015358827024346444
449,0.0007737283734728011,0.0030344616978598042,23,0.0022607333243870034
450,0.001787748868411785,0.0016509553165162873,22,-0.0001367935518954977
451,-0.0018761245429259105,-7.708034008569908e-05,22,0.0017990442028402113
452,0.005888359147787128,0.002694168790396156,23,-0.0031941903573909722
453,0.002844873862612176,-0.001271984762659168,27,-0.004116858625271344
454,0.015031375429388686,0.003859707077890273,30,-0.011171668351498413
455,0.0015271112982834594,0.0012066635088694596,34,-0.00032044778941399984
456,0.0025058381178931833,0.0024580563189005706,38,-4.7781798992612735e-05
457,-0.0013376684053934451,0.0005362269846966234,39,0.0018738953900900685
458,-0.0021717545443848433,-0.003683767721194452,44,-0.0015120131768096086
459,-0.0047598011697356285,-0.0022298136906676903,53,0.002529987479067938
460,-0.0028565853691357884,-0.0005523712445162482,57,0.00230421412461954
461,0.01669769845392591,0.010640412828989353,62,-0.006057285624936558
462,-0.0032574809660671257,-0.0012199438542842538,64,0.002037537111782872
463,0.008545918124906054,0.005615798130719422,67,-0.0029301199941866316
464,0.00032864593109800666,-3.9045935373641094e-05,72,-0.00036769186647164775
465,-0.0010778051830547634,-0.002227731272019424,77,-0.0011499260889646606
466,0.006165736616132997,0.005348411476233885,82,-0.0008173251398991121
467,-0.008237725396036748,-0.006034146582474348,82,0.0022035788135624
468,0.004251086474707237,0.002386808097318152,85,-0.0018642783773890853
469,0.0020033291974027316,0.001605102817225797,89,-0.00039822638017693464
470,-0.00028249744452305356,-0.0015738930143597164,92,-0.0012913955698366628
471,0.00014342499555601313,0.000573584964832832,91,0.0004301599692768189
472,-0.0013883813704734572,0.00052994608236394,90,0.0019183274528373972
